time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-17 00:00:00+00:00,,,4,4
2022-04-18 00:00:00+00:00,,,13,8
2022-04-19 00:00:00+00:00,2.0,1.0,9,5
2022-04-20 00:00:00+00:00,,,4,3
2022-04-21 00:00:00+00:00,2.0,1.0,10,7
2022-04-22 00:00:00+00:00,2.0,1.0,8,5
2022-04-23 00:00:00+00:00,4.0,2.0,11,7
2022-04-24 00:00:00+00:00,2.0,1.0,3,3
2022-04-25 00:00:00+00:00,1.0,1.0,15,5
2022-04-26 00:00:00+00:00,2.0,1.0,14,10
2022-04-27 00:00:00+00:00,1.0,1.0,35,7
2022-04-28 00:00:00+00:00,2.0,1.0,5,5
2022-04-29 00:00:00+00:00,,,4,3
2022-04-30 00:00:00+00:00,,,6,4
