time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-04-30 00:00:00+00:00,,,9,4
2022-05-01 00:00:00+00:00,1.0,1.0,4,4
2022-05-02 00:00:00+00:00,,,5,5
2022-05-03 00:00:00+00:00,,,7,3
2022-05-04 00:00:00+00:00,4.0,1.0,9,5
2022-05-05 00:00:00+00:00,5.0,3.0,11,4
2022-05-06 00:00:00+00:00,,,10,4
2022-05-07 00:00:00+00:00,2.0,1.0,1,1
2022-05-08 00:00:00+00:00,,,12,2
2022-05-09 00:00:00+00:00,,,14,10
2022-05-10 00:00:00+00:00,,,7,4
2022-05-11 00:00:00+00:00,,,15,8
2022-05-12 00:00:00+00:00,,,3,3
2022-05-13 00:00:00+00:00,1.0,1.0,6,6
