url_path,views_total,views_unique
/tom-doerr/codex-readme,351,238
/tom-doerr/codex-readme/blob/main/codex_readme.py,79,52
/tom-doerr/codex-readme/blob/main/README.md,19,11
/tom-doerr/codex-readme/blob/main/requirements.txt,17,13
/tom-doerr/codex-readme/blob/main/setup.py,14,11
/tom-doerr/codex-readme/issues,10,6
/tom-doerr/codex-readme/issues/1,7,7
/tom-doerr/codex-readme/issues/2,5,5
/tom-doerr/codex-readme/blob/f849d662429a87aa651433cbc93ccfd16360829a/codex_readme.py,3,3
/tom-doerr/codex-readme/blob/main/LICENSE,3,3
