time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-14 00:00:00+00:00,,,2,2
2022-05-15 00:00:00+00:00,,,1,1
2022-05-16 00:00:00+00:00,1.0,1.0,1,1
2022-05-17 00:00:00+00:00,2.0,2.0,10,3
2022-05-18 00:00:00+00:00,1.0,1.0,5,3
2022-05-19 00:00:00+00:00,,,8,6
2022-05-20 00:00:00+00:00,2.0,2.0,8,6
2022-05-21 00:00:00+00:00,,,5,4
2022-05-22 00:00:00+00:00,,,3,2
2022-05-23 00:00:00+00:00,,,1,1
2022-05-25 00:00:00+00:00,,,1,1
2022-05-26 00:00:00+00:00,1.0,1.0,4,2
2022-05-27 00:00:00+00:00,,,3,1
