time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-08 00:00:00+00:00,2,1,0,0
2022-01-09 00:00:00+00:00,1,1,0,0
2022-01-11 00:00:00+00:00,0,0,1,1
2022-01-12 00:00:00+00:00,1,1,1,1
2022-01-13 00:00:00+00:00,0,0,3,1
2022-01-15 00:00:00+00:00,0,0,11,4
2022-01-16 00:00:00+00:00,1,1,0,0
2022-01-18 00:00:00+00:00,4,3,1,1
2022-01-19 00:00:00+00:00,0,0,3,1
2022-01-20 00:00:00+00:00,0,0,2,1
2022-01-21 00:00:00+00:00,0,0,17,17
2022-01-22 00:00:00+00:00,1,1,22,19
2022-01-29 00:00:00+00:00,1,1,0,0
2022-01-30 00:00:00+00:00,2,2,1,1
2022-01-31 00:00:00+00:00,3,2,0,0
2022-02-03 00:00:00+00:00,1,1,0,0
2022-02-14 00:00:00+00:00,1,1,1,1
2022-02-16 00:00:00+00:00,0,0,1,1
2022-02-17 00:00:00+00:00,0,0,1,1
2022-02-27 00:00:00+00:00,1,1,0,0
2022-02-28 00:00:00+00:00,2,2,0,0
2022-03-08 00:00:00+00:00,0,0,6,2
2022-03-10 00:00:00+00:00,0,0,1,1
2022-03-11 00:00:00+00:00,0,0,1,1
2022-03-12 00:00:00+00:00,0,0,2,1
2022-03-13 00:00:00+00:00,0,0,11,1
2022-03-14 00:00:00+00:00,2,2,0,0
2022-03-15 00:00:00+00:00,1,1,0,0
2022-03-18 00:00:00+00:00,0,0,4,1
2022-03-23 00:00:00+00:00,0,0,2,2
2022-03-29 00:00:00+00:00,0,0,1,1
2022-03-31 00:00:00+00:00,0,0,1,1
2022-04-03 00:00:00+00:00,1,1,0,0
2022-04-20 00:00:00+00:00,2,1,0,0
2022-04-21 00:00:00+00:00,0,0,1,1
2022-04-22 00:00:00+00:00,2,1,0,0
2022-04-24 00:00:00+00:00,1,1,0,0
2022-04-26 00:00:00+00:00,0,0,3,2
2022-04-28 00:00:00+00:00,1,1,0,0
2022-05-01 00:00:00+00:00,1,1,1,1
2022-05-02 00:00:00+00:00,1,1,0,0
2022-05-05 00:00:00+00:00,1,1,0,0
2022-05-06 00:00:00+00:00,1,1,0,0
2022-05-08 00:00:00+00:00,0,0,2,1
2022-05-12 00:00:00+00:00,1,1,0,0
2022-05-15 00:00:00+00:00,0,0,1,1
2022-05-17 00:00:00+00:00,2,2,1,1
2022-05-18 00:00:00+00:00,0,0,2,1
2022-05-19 00:00:00+00:00,1,1,0,0
2022-05-27 00:00:00+00:00,2,1,0,0
2022-05-30 00:00:00+00:00,0,0,1,1
2022-06-01 00:00:00+00:00,1,1,0,0
2022-06-05 00:00:00+00:00,1,1,0,0
2022-06-14 00:00:00+00:00,2,1,0,0
2022-06-24 00:00:00+00:00,1,1,0,0
2022-06-29 00:00:00+00:00,2,1,0,0
2022-07-10 00:00:00+00:00,2,1,0,0
2022-07-24 00:00:00+00:00,1,1,0,0
2022-08-06 00:00:00+00:00,1,1,0,0
2022-08-13 00:00:00+00:00,3,2,0,0
2022-08-14 00:00:00+00:00,2,1,0,0
2022-08-20 00:00:00+00:00,1,1,0,0
2022-08-31 00:00:00+00:00,2,1,0,0
2022-09-16 00:00:00+00:00,2,1,0,0
2022-09-18 00:00:00+00:00,1,1,0,0
2022-09-21 00:00:00+00:00,1,1,0,0
2022-09-29 00:00:00+00:00,1,1,3,1
2022-10-01 00:00:00+00:00,1,1,0,0
2022-10-06 00:00:00+00:00,1,1,0,0
2022-10-07 00:00:00+00:00,1,1,0,0
2022-10-10 00:00:00+00:00,1,1,0,0
2022-10-17 00:00:00+00:00,0,0,2,1
2022-10-18 00:00:00+00:00,1,1,0,0
2022-10-21 00:00:00+00:00,1,1,2,1
2022-10-22 00:00:00+00:00,1,1,0,0
2022-10-25 00:00:00+00:00,2,1,0,0
2022-11-08 00:00:00+00:00,3,2,0,0
2022-11-09 00:00:00+00:00,2,2,0,0
2022-11-11 00:00:00+00:00,1,1,0,0
2022-11-14 00:00:00+00:00,1,1,0,0
2022-11-17 00:00:00+00:00,1,1,0,0
2022-11-22 00:00:00+00:00,1,1,0,0
2022-11-24 00:00:00+00:00,1,1,0,0
2022-12-05 00:00:00+00:00,0,0,1,1
2022-12-06 00:00:00+00:00,2,1,0,0
2022-12-07 00:00:00+00:00,4,2,0,0
2022-12-11 00:00:00+00:00,0,0,3,1
2022-12-12 00:00:00+00:00,1,1,0,0
2022-12-14 00:00:00+00:00,1,1,0,0
2022-12-17 00:00:00+00:00,0,0,1,1
2022-12-19 00:00:00+00:00,2,2,0,0
2022-12-24 00:00:00+00:00,1,1,0,0
2022-12-26 00:00:00+00:00,1,1,0,0
2022-12-31 00:00:00+00:00,1,1,0,0
2023-01-03 00:00:00+00:00,4,2,0,0
2023-01-09 00:00:00+00:00,0,0,1,1
2023-01-10 00:00:00+00:00,1,1,0,0
2023-01-11 00:00:00+00:00,0,0,1,1
