time_iso8601,forks_cumulative
2021-09-01 00:00:00+00:00,1
2021-09-06 00:00:00+00:00,2
2021-09-08 00:00:00+00:00,4
2021-10-06 00:00:00+00:00,5
2021-10-29 00:00:00+00:00,6
2022-01-16 00:00:00+00:00,7
2022-01-17 00:00:00+00:00,8
2022-01-26 00:00:00+00:00,9
2022-07-18 00:00:00+00:00,10
2022-08-23 00:00:00+00:00,11
2022-08-28 00:00:00+00:00,12
2022-10-24 00:00:00+00:00,13
2022-11-25 00:00:00+00:00,14
2022-12-03 00:00:00+00:00,15
2022-12-05 00:00:00+00:00,16
2022-12-17 00:00:00+00:00,17
2023-01-07 00:00:00+00:00,18
2023-01-11 00:00:00+00:00,19
2023-01-14 00:00:00+00:00,20
