time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-05 00:00:00+00:00,,,22,11
2023-04-06 00:00:00+00:00,3.0,3.0,22,10
2023-04-07 00:00:00+00:00,5.0,4.0,19,13
2023-04-08 00:00:00+00:00,3.0,3.0,30,13
2023-04-09 00:00:00+00:00,2.0,2.0,14,6
2023-04-10 00:00:00+00:00,2.0,2.0,9,9
2023-04-11 00:00:00+00:00,12.0,4.0,21,9
2023-04-12 00:00:00+00:00,2.0,2.0,15,13
2023-04-13 00:00:00+00:00,23.0,4.0,24,16
2023-04-14 00:00:00+00:00,22.0,3.0,30,23
2023-04-15 00:00:00+00:00,8.0,3.0,10,10
2023-04-16 00:00:00+00:00,9.0,3.0,13,11
2023-04-17 00:00:00+00:00,5.0,4.0,27,13
2023-04-18 00:00:00+00:00,6.0,4.0,29,11
