time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-09 00:00:00+00:00,0,0,5,1
2022-01-10 00:00:00+00:00,0,0,11,4
2022-01-11 00:00:00+00:00,0,0,4,2
2022-01-12 00:00:00+00:00,0,0,1,1
2022-01-13 00:00:00+00:00,0,0,8,3
2022-01-14 00:00:00+00:00,0,0,14,6
2022-01-15 00:00:00+00:00,5,2,2,2
2022-01-16 00:00:00+00:00,1,1,9,7
2022-01-17 00:00:00+00:00,7,4,8,5
2022-01-18 00:00:00+00:00,5,4,20,7
2022-01-19 00:00:00+00:00,1,1,9,2
2022-01-20 00:00:00+00:00,1,1,4,3
2022-01-21 00:00:00+00:00,4,3,6,2
2022-01-22 00:00:00+00:00,1,1,9,4
2022-01-23 00:00:00+00:00,5,5,6,2
2022-01-24 00:00:00+00:00,6,4,2,2
2022-01-25 00:00:00+00:00,2,1,1,1
2022-01-26 00:00:00+00:00,2,2,1,1
2022-01-27 00:00:00+00:00,3,2,1,1
2022-01-28 00:00:00+00:00,2,2,3,3
2022-01-29 00:00:00+00:00,3,3,4,4
2022-01-30 00:00:00+00:00,3,2,0,0
2022-01-31 00:00:00+00:00,0,0,19,7
