time_iso8601,forks_cumulative
2021-09-26 00:00:00+00:00,1
2021-09-27 00:00:00+00:00,2
2021-09-28 00:00:00+00:00,4
2021-10-01 00:00:00+00:00,5
2021-10-11 00:00:00+00:00,6
2021-10-23 00:00:00+00:00,7
2021-10-29 00:00:00+00:00,8
2021-11-22 00:00:00+00:00,9
2021-12-14 00:00:00+00:00,10
2022-01-15 00:00:00+00:00,11
2022-02-15 00:00:00+00:00,12
2022-03-26 00:00:00+00:00,13
2022-03-27 00:00:00+00:00,14
2022-04-12 00:00:00+00:00,15
2022-04-16 00:00:00+00:00,16
2022-05-31 00:00:00+00:00,17
2022-06-16 00:00:00+00:00,18
2022-08-06 00:00:00+00:00,19
2022-08-23 00:00:00+00:00,20
2022-09-05 00:00:00+00:00,21
2022-09-09 00:00:00+00:00,22
2022-09-18 00:00:00+00:00,23
2022-10-02 00:00:00+00:00,24
2022-11-05 00:00:00+00:00,25
2022-11-22 00:00:00+00:00,26
2022-12-08 00:00:00+00:00,27
2022-12-12 00:00:00+00:00,28
2022-12-13 00:00:00+00:00,29
