time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-11 00:00:00+00:00,2.0,2.0,17,13
2022-03-12 00:00:00+00:00,2.0,2.0,17,9
2022-03-13 00:00:00+00:00,1.0,1.0,24,8
2022-03-14 00:00:00+00:00,1.0,1.0,16,10
2022-03-15 00:00:00+00:00,1.0,1.0,17,8
2022-03-16 00:00:00+00:00,2.0,1.0,18,12
2022-03-17 00:00:00+00:00,3.0,3.0,16,9
2022-03-18 00:00:00+00:00,1.0,1.0,23,11
2022-03-19 00:00:00+00:00,1.0,1.0,12,7
2022-03-20 00:00:00+00:00,,,12,9
2022-03-21 00:00:00+00:00,2.0,1.0,27,12
2022-03-22 00:00:00+00:00,2.0,2.0,14,11
2022-03-23 00:00:00+00:00,,,16,13
2022-03-24 00:00:00+00:00,1.0,1.0,31,11
